service,field_name,type,is_enum,possible_values,values_source,operators,dependency_index_entity,in_direct_vars
accessanalyzer,type,string,Yes,"ACCOUNT, ORGANIZATION, ACCOUNT_UNUSED_ACCESS, ORGANIZATION_UNUSED_ACCESS, ACCOUNT_INTERNAL_ACCESS, ORGANIZATION_INTERNAL_ACCESS",direct_vars,"equals, in, not_equals",accessanalyzer.analyzer_type,Yes
accessanalyzer,Status,string,Yes,"ACTIVE, ARCHIVED, CANCELED, COMPLETED, CREATING, DISABLED, FAILED, IN_PROGRESS, RESOLVED, SUCCEEDED",boto3_deps,"equals, not_equals, in",accessanalyzer.analyzer_configuration,Yes
account,AlternateContactType,string,Yes,"BILLING, OPERATIONS, SECURITY",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",account.alternate_contact_alternate_contact_type,Yes
account,RegionOptStatus,string,Yes,"ENABLED, ENABLING, DISABLING, DISABLED, ENABLED_BY_DEFAULT",direct_vars,"equals, not_equals, in, not_in",account.region_region_opt_status,Yes
acm,ExportOption,string,Yes,"ENABLED, DISABLED",direct_vars,"equals, not_equals, contains, in",acm.certificate_summary_list_export_option,Yes
acm,FailureReason,string,Yes,"NO_AVAILABLE_CONTACTS, ADDITIONAL_VERIFICATION_REQUIRED, DOMAIN_NOT_ALLOWED, INVALID_PUBLIC_DOMAIN, DOMAIN_VALIDATION_DENIED, CAA_ERROR, PCA_LIMIT_EXCEEDED, PCA_INVALID_ARN, PCA_INVALID_STATE, PCA_REQUEST_FAILED, PCA_NAME_CONSTRAINTS_VALIDATION, PCA_RESOURCE_NOT_FOUND, PCA_INVALID_ARGS, PCA_INVALID_DURATION, PCA_ACCESS_DENIED, SLR_NOT_FOUND, OTHER",direct_vars,"equals, not_equals, contains, in",acm.certificate_failure_reason,Yes
acm,Key,string,Yes,"EC_prime256v1, EC_secp384r1, EC_secp521r1, RSA_1024, RSA_2048, RSA_3072, RSA_4096",boto3_deps,"equals, not_equals, contains, in",acm.tag_key,Yes
acm,KeyAlgorithm,string,Yes,"RSA_1024, RSA_2048, RSA_3072, RSA_4096, EC_prime256v1, EC_secp384r1, EC_secp521r1",direct_vars,"equals, not_equals, contains, in",acm.certificate_summary_list_key_algorithm,Yes
acm,ManagedBy,string,Yes,CLOUDFRONT,direct_vars,"equals, not_equals, contains, in",acm.certificate_summary_list_managed_by,Yes
acm,RenewalEligibility,string,Yes,"ELIGIBLE, INELIGIBLE",direct_vars,"equals, not_equals, contains, in",acm.certificate_summary_list_renewal_eligibility,Yes
acm,RevocationReason,string,Yes,"UNSPECIFIED, KEY_COMPROMISE, CA_COMPROMISE, AFFILIATION_CHANGED, SUPERCEDED, SUPERSEDED, CESSATION_OF_OPERATION, CERTIFICATE_HOLD, REMOVE_FROM_CRL, PRIVILEGE_WITHDRAWN, A_A_COMPROMISE",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",acm.certificate_revocation_reason,Yes
acm,Status,string,Yes,"PENDING_VALIDATION, ISSUED, INACTIVE, EXPIRED, VALIDATION_TIMED_OUT, REVOKED, FAILED",direct_vars,"equals, not_equals, in, not_in",acm.certificate_summary_list_status,Yes
acm,Type,string,Yes,"IMPORTED, AMAZON_ISSUED, PRIVATE",direct_vars,"equals, not_equals, in, not_in",acm.certificate_summary_list_type,Yes
acm-pca,FailureReason,string,Yes,"REQUEST_TIMED_OUT, UNSUPPORTED_ALGORITHM, OTHER",direct_vars,"equals, not_equals, contains, in",acm-pca.certificate_authority_failure_reason,Yes
acm-pca,Key,string,Yes,"CCPC_LEVEL_1_OR_HIGHER, FIPS_140_2_LEVEL_2_OR_HIGHER, FIPS_140_2_LEVEL_3_OR_HIGHER",boto3_deps,"equals, not_equals, contains, in",acm-pca.tag_key,Yes
acm-pca,KeyStorageSecurityStandard,string,Yes,"FIPS_140_2_LEVEL_2_OR_HIGHER, FIPS_140_2_LEVEL_3_OR_HIGHER, CCPC_LEVEL_1_OR_HIGHER",direct_vars,"equals, not_equals, contains, in",acm-pca.certificate_authority_key_storage_security_standard,Yes
acm-pca,Status,string,Yes,"CREATING, PENDING_CERTIFICATE, ACTIVE, DELETED, DISABLED, EXPIRED, FAILED",direct_vars,"equals, not_equals, in, not_in",acm-pca.certificate_authority_status,Yes
acm-pca,Type,string,Yes,"ROOT, SUBORDINATE",direct_vars,"equals, not_equals, in, not_in",acm-pca.certificate_authority_type,Yes
acm-pca,UsageMode,string,Yes,"GENERAL_PURPOSE, SHORT_LIVED_CERTIFICATE",direct_vars,"equals, not_equals, in, not_in",acm-pca.certificate_authority_usage_mode,Yes
acm-pca,AuditReportStatus,string,Yes,"CREATING, FAILED, SUCCESS",boto3_deps,"equals, not_equals, in, not_in",,No
amp,status,string,Yes,"ACTIVE, CREATING, DELETING, UPDATING",boto3_deps,"contains, equals, in, not_equals",amp.scraper_status,Yes
amp,type,string,Yes,"SERVICE_DISCOVERY, COLLECTOR, EXPORTER",direct_vars,"equals, not_equals, contains, in",amp.scraper_component_type,Yes
amp,Status,string,Yes,"ACTIVE, CREATING, DELETING, UPDATING",boto3_deps,"equals, not_equals, in",amp.anomaly_detector_configuration,Yes
amp,policyStatus,string,Yes,"ACTIVE, CREATING, DELETING, UPDATING",boto3_deps,"equals, not_equals, in, not_in",,No
amplify,domainStatus,string,Yes,"PENDING_VERIFICATION, IN_PROGRESS, AVAILABLE, IMPORTING_CUSTOM_CERTIFICATE, PENDING_DEPLOYMENT, AWAITING_APP_CNAME, FAILED, CREATING, REQUESTING_CERTIFICATE, UPDATING",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",amplify.domain_association_domain_status,Yes
amplify,job,,Yes,"MANUAL, RELEASE, RETRY, WEB_HOOK",boto3_deps,"equals, not_equals, contains, in",amplify.job,Yes
amplify,jobType,string,Yes,"RELEASE, RETRY, MANUAL, WEB_HOOK",direct_vars,"equals, not_equals, contains, in",amplify.job_summary_job_type,Yes
amplify,platform,string,Yes,"WEB, WEB_DYNAMIC, WEB_COMPUTE",direct_vars,"equals, not_equals, contains, in",amplify.app_platform,Yes
amplify,repository,string,Yes,"SIGV4, SSH, TOKEN",boto3_deps,"equals, not_equals, contains, in",amplify.app_repository,Yes
amplify,repositoryCloneMethod,string,Yes,"SSH, TOKEN, SIGV4",direct_vars,"equals, not_equals, contains, in",amplify.app_repository_clone_method,Yes
amplify,sourceUrl,string,Yes,"BUCKET_PREFIX, ZIP",boto3_deps,"equals, not_equals, contains, in",amplify.job_summary_source_url,Yes
amplify,sourceUrlType,string,Yes,"ZIP, BUCKET_PREFIX",direct_vars,"equals, not_equals, contains, in",amplify.job_summary_source_url_type,Yes
amplify,stage,array,Yes,"PRODUCTION, BETA, DEVELOPMENT, EXPERIMENTAL, PULL_REQUEST",direct_vars,"equals, not_equals, contains, in",amplify.branch_stage,Yes
amplify,status,string,Yes,"CREATED, PENDING, PROVISIONING, RUNNING, FAILED, SUCCEED, CANCELLING, CANCELLED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",amplify.job_summary_status,Yes
amplify,statusReason,string,Yes,"CANCELLED, CANCELLING, CREATED, FAILED, PENDING, PROVISIONING, RUNNING, SUCCEED",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",amplify.domain_association_status_reason,Yes
amplify,updateStatus,string,Yes,"REQUESTING_CERTIFICATE, PENDING_VERIFICATION, IMPORTING_CUSTOM_CERTIFICATE, PENDING_DEPLOYMENT, AWAITING_APP_CNAME, UPDATE_COMPLETE, UPDATE_FAILED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",amplify.domain_association_update_status,Yes
amplify,Status,string,Yes,"AVAILABLE, AWAITING_APP_CNAME, CANCELLED, CANCELLING, CREATED, CREATING, FAILED, IMPORTING_CUSTOM_CERTIFICATE, IN_PROGRESS, PENDING, PENDING_DEPLOYMENT, PENDING_VERIFICATION, PROVISIONING, REQUESTING_CERTIFICATE, RUNNING, SUCCEED, UPDATE_COMPLETE, UPDATE_FAILED, UPDATING",boto3_deps,"equals, not_equals, in",amplify.app_waf_configuration,Yes
amplifybackend,AuthResources,string,Yes,"USER_POOL_ONLY, IDENTITY_POOL_AND_USER_POOL",direct_vars,"equals, not_equals, contains, in",amplifybackend.resource_config_auth_resources,Yes
amplifybackend,Name,string,Yes,S3,boto3_deps,"equals, not_equals, contains, in, exists",amplifybackend.bucket_name,Yes
amplifybackend,Service,string,Yes,"COGNITO, S3",boto3_deps,"equals, not_equals, contains, in",amplifybackend.resource_config_service,Yes
amplifybackend,ServiceName,string,Yes,S3,direct_vars,"equals, not_equals, contains, in",amplifybackend.resource_config_service_name,Yes
amplifybackend,Status,string,Yes,"LATEST, STALE",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",amplifybackend.job_status,Yes
amplifyuibuilder,form,,Yes,"create, update",boto3_deps,"equals, not_equals, contains, in",amplifyuibuilder.form_form,Yes
amplifyuibuilder,formActionType,string,Yes,"create, update",direct_vars,"equals, not_equals, contains, in",amplifyuibuilder.form_form_action_type,Yes
amplifyuibuilder,labelDecorator,string,Yes,"required, optional, none",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",amplifyuibuilder.form_label_decorator,Yes
amplifyuibuilder,status,string,Yes,"in_progress, failed, succeeded",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",amplifyuibuilder.job_status,Yes
amplifyuibuilder,statusMessage,string,Yes,"failed, in_progress, succeeded",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",amplifyuibuilder.job_status_message,Yes
apigateway,accessAssociationSource,string,Yes,VPCE,boto3_deps,"equals, not_equals, contains, in",apigateway.item_access_association_source,Yes
apigateway,accessAssociationSourceType,string,Yes,VPCE,direct_vars,"equals, not_equals, in, not_in",apigateway.item_access_association_source_type,Yes
apigateway,apiKeySource,string,Yes,"HEADER, AUTHORIZER",direct_vars,"equals, not_equals, contains, in",apigateway.item_api_key_source,Yes
apigateway,apiStatus,string,Yes,"UPDATING, AVAILABLE, PENDING, FAILED",direct_vars,"equals, not_equals, in, not_in",apigateway.item_api_status,Yes
apigateway,apiStatusMessage,string,Yes,"AVAILABLE, DELETING, FAILED, PENDING, UPDATING",boto3_deps,"equals, not_equals, in, not_in",apigateway.item_api_status_message,Yes
apigateway,authType,string,Yes,"API, AUTHORIZER, AWS, AWS_PROXY, COGNITO_USER_POOLS, HTTP, HTTP_PROXY, METHOD, MOCK, MODEL, PATH_PARAMETER, QUERY_PARAMETER, REQUEST, REQUEST_BODY, REQUEST_HEADER, RESOURCE, RESPONSE, RESPONSE_BODY, RESPONSE_HEADER, TOKEN",boto3_deps,"equals, not_equals, contains, in",apigateway.item_auth_type,Yes
apigateway,binaryMediaTypes,string,Yes,"API, AUTHORIZER, AWS, AWS_PROXY, COGNITO_USER_POOLS, HTTP, HTTP_PROXY, METHOD, MOCK, MODEL, PATH_PARAMETER, QUERY_PARAMETER, REQUEST, REQUEST_BODY, REQUEST_HEADER, RESOURCE, RESPONSE, RESPONSE_BODY, RESPONSE_HEADER, TOKEN",boto3_deps,"equals, not_equals, in, not_in",apigateway.item_binary_media_types,Yes
apigateway,cacheClusterSize,integer,Yes,"0.5, 1.6, 6.1, 13.5, 28.4, 58.2, 118, 237",direct_vars,"equals, not_equals, contains, in",apigateway.item_cache_cluster_size,Yes
apigateway,cacheClusterStatus,string,Yes,"CREATE_IN_PROGRESS, AVAILABLE, DELETE_IN_PROGRESS, NOT_AVAILABLE, FLUSH_IN_PROGRESS",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigateway.item_cache_cluster_status,Yes
apigateway,contentType,string,Yes,"API, AUTHORIZER, AWS, AWS_PROXY, COGNITO_USER_POOLS, HTTP, HTTP_PROXY, METHOD, MOCK, MODEL, PATH_PARAMETER, QUERY_PARAMETER, REQUEST, REQUEST_BODY, REQUEST_HEADER, RESOURCE, RESPONSE, RESPONSE_BODY, RESPONSE_HEADER, TOKEN",boto3_deps,"equals, not_equals, contains, in",apigateway.item_content_type,Yes
apigateway,domainName,string,Yes,"AVAILABLE, FAILED, PENDING, PENDING_CERTIFICATE_REIMPORT, PENDING_OWNERSHIP_VERIFICATION, UPDATING",boto3_deps,"equals, not_equals, contains, in, exists",apigateway.item_domain_name,Yes
apigateway,domainNameStatus,string,Yes,"AVAILABLE, UPDATING, PENDING, PENDING_CERTIFICATE_REIMPORT, PENDING_OWNERSHIP_VERIFICATION, FAILED",direct_vars,"equals, not_equals, in, not_in",apigateway.item_domain_name_status,Yes
apigateway,domainNameStatusMessage,string,Yes,"AVAILABLE, DELETING, FAILED, PENDING, PENDING_CERTIFICATE_REIMPORT, PENDING_OWNERSHIP_VERIFICATION, UPDATING",boto3_deps,"equals, not_equals, in, not_in",apigateway.item_domain_name_status_message,Yes
apigateway,endpointAccessMode,string,Yes,"BASIC, STRICT",direct_vars,"equals, not_equals, in, not_in",apigateway.item_endpoint_access_mode,Yes
apigateway,ipAddressType,string,Yes,"ipv4, dualstack",direct_vars,"equals, not_equals, contains, in",apigateway.endpoint_configuration_ip_address_type,Yes
apigateway,name,string,Yes,"AVAILABLE, FAILED, PENDING, PENDING_CERTIFICATE_REIMPORT, PENDING_OWNERSHIP_VERIFICATION, UPDATING",boto3_deps,"contains, equals, exists, in, not_equals",apigateway.item_name,Yes
apigateway,policy,string,Yes,"SecurityPolicy_TLS12_2018_EDGE, SecurityPolicy_TLS12_PFS_2025_EDGE, SecurityPolicy_TLS13_1_2_2021_06, SecurityPolicy_TLS13_1_2_FIPS_PQ_2025_09, SecurityPolicy_TLS13_1_2_PFS_PQ_2025_09, SecurityPolicy_TLS13_1_2_PQ_2025_09, SecurityPolicy_TLS13_1_3_2025_09, SecurityPolicy_TLS13_1_3_FIPS_2025_09, SecurityPolicy_TLS13_2025_EDGE, TLS_1_0, TLS_1_2",boto3_deps,"equals, not_equals, contains, in",apigateway.item_policy,Yes
apigateway,responseType,string,Yes,"DEFAULT_4XX, DEFAULT_5XX, RESOURCE_NOT_FOUND, UNAUTHORIZED, INVALID_API_KEY, ACCESS_DENIED, AUTHORIZER_FAILURE, AUTHORIZER_CONFIGURATION_ERROR, INVALID_SIGNATURE, EXPIRED_TOKEN, MISSING_AUTHENTICATION_TOKEN, INTEGRATION_FAILURE, INTEGRATION_TIMEOUT, API_CONFIGURATION_ERROR, UNSUPPORTED_MEDIA_TYPE, BAD_REQUEST_PARAMETERS, BAD_REQUEST_BODY, REQUEST_TOO_LARGE, THROTTLED, QUOTA_EXCEEDED, WAF_FILTERED",direct_vars,"equals, not_equals, contains, in",apigateway.item_response_type,Yes
apigateway,routingMode,string,Yes,"BASE_PATH_MAPPING_ONLY, ROUTING_RULE_ONLY, ROUTING_RULE_THEN_BASE_PATH_MAPPING",direct_vars,"equals, not_equals, in, not_in",apigateway.item_routing_mode,Yes
apigateway,securityPolicy,string,Yes,"TLS_1_0, TLS_1_2, SecurityPolicy_TLS13_1_3_2025_09, SecurityPolicy_TLS13_1_3_FIPS_2025_09, SecurityPolicy_TLS13_1_2_PFS_PQ_2025_09, SecurityPolicy_TLS13_1_2_FIPS_PQ_2025_09, SecurityPolicy_TLS13_1_2_PQ_2025_09, SecurityPolicy_TLS13_1_2_2021_06, SecurityPolicy_TLS13_2025_EDGE, SecurityPolicy_TLS12_PFS_2025_EDGE, SecurityPolicy_TLS12_2018_EDGE",direct_vars,"equals, not_equals, contains, in",apigateway.item_security_policy,Yes
apigateway,status,string,Yes,"AVAILABLE, PENDING, DELETING, FAILED",direct_vars,"equals, in, not_equals",apigateway.item_status,Yes
apigateway,statusCode,string,Yes,"AVAILABLE, DELETING, FAILED, PENDING",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigateway.location_status_code,Yes
apigateway,statusMessage,string,Yes,"AVAILABLE, DELETING, FAILED, PENDING",boto3_deps,"equals, not_equals, in, not_in",apigateway.item_status_message,Yes
apigateway,type,string,Yes,"TOKEN, REQUEST, COGNITO_USER_POOLS",direct_vars,"equals, not_equals, contains, in",apigateway.item_type,Yes
apigateway,types,string,Yes,"API, AUTHORIZER, AWS, AWS_PROXY, COGNITO_USER_POOLS, HTTP, HTTP_PROXY, METHOD, MOCK, MODEL, PATH_PARAMETER, QUERY_PARAMETER, REQUEST, REQUEST_BODY, REQUEST_HEADER, RESOURCE, RESPONSE, RESPONSE_BODY, RESPONSE_HEADER, TOKEN",boto3_deps,"equals, not_equals, contains, in",apigateway.endpoint_configuration_types,Yes
apigateway,Level,string,Yes,"ERROR, INFO, DEBUG, OFF",direct_vars,"equals, not_equals, in",apigateway.api_key_version,Yes
apigateway,Status,string,Yes,"AVAILABLE, CREATE_IN_PROGRESS, DELETE_IN_PROGRESS, DELETING, FAILED, FLUSH_IN_PROGRESS, NOT_AVAILABLE, PENDING, PENDING_CERTIFICATE_REIMPORT, PENDING_OWNERSHIP_VERIFICATION, UPDATING",boto3_deps,"equals, not_equals, in",apigateway.item_endpoint_configuration,Yes
apigateway,connectionType,string,Yes,"INTERNET, VPC_LINK",boto3_deps,"equals, not_equals, in, not_in",,No
apigateway,contentHandling,string,Yes,"CONVERT_TO_BINARY, CONVERT_TO_TEXT",boto3_deps,"equals, not_equals, in, not_in",,No
apigateway,responseTransferMode,string,Yes,"BUFFERED, STREAM",boto3_deps,"equals, not_equals, in, not_in",,No
apigatewayv2,Authorization,string,Yes,"AWS_IAM, CUSTOM, JWT, NONE",boto3_deps,"equals, not_equals, contains, in",apigatewayv2.item_authorization,Yes
apigatewayv2,AuthorizationType,string,Yes,"NONE, AWS_IAM, CUSTOM, JWT",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.item_authorization_type,Yes
apigatewayv2,AuthorizerType,string,Yes,"REQUEST, JWT",direct_vars,"equals, not_equals, contains, in",apigatewayv2.item_authorizer_type,Yes
apigatewayv2,ConnectionType,string,Yes,"INTERNET, VPC_LINK",direct_vars,"equals, not_equals, contains, in",apigatewayv2.item_connection_type,Yes
apigatewayv2,ContentHandlingStrategy,string,Yes,"CONVERT_TO_BINARY, CONVERT_TO_TEXT",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.item_content_handling_strategy,Yes
apigatewayv2,LoggingLevel,string,Yes,"ERROR, INFO, OFF",direct_vars,"equals, not_equals, in",apigatewayv2.item_default_route_settings,Yes
apigatewayv2,DeploymentStatus,string,Yes,"PENDING, FAILED, DEPLOYED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.item_deployment_status,Yes
apigatewayv2,DeploymentStatusMessage,string,Yes,"AVAILABLE, DEPLOYED, FAILED, IN_PROGRESS, PENDING",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.item_deployment_status_message,Yes
apigatewayv2,DomainName,string,Yes,"AVAILABLE, PENDING_CERTIFICATE_REIMPORT, PENDING_OWNERSHIP_VERIFICATION, UPDATING",boto3_deps,"equals, not_equals, contains, in, exists",apigatewayv2.item_domain_name,Yes
apigatewayv2,DomainNameStatus,string,Yes,"AVAILABLE, UPDATING, PENDING_CERTIFICATE_REIMPORT, PENDING_OWNERSHIP_VERIFICATION",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.domain_name_configuration_domain_name_status,Yes
apigatewayv2,DomainNameStatusMessage,string,Yes,"AVAILABLE, FAILED, IN_PROGRESS, PENDING_CERTIFICATE_REIMPORT, PENDING_OWNERSHIP_VERIFICATION, UPDATING",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.domain_name_configuration_domain_name_status_message,Yes
apigatewayv2,Endpoint,string,Yes,"EDGE, REGIONAL",boto3_deps,"equals, not_equals, contains, in",apigatewayv2.display_content_endpoint,Yes
apigatewayv2,EndpointType,string,Yes,"REGIONAL, EDGE",direct_vars,"equals, not_equals, contains, in",apigatewayv2.domain_name_configuration_endpoint_type,Yes
apigatewayv2,IntegrationType,string,Yes,"AWS, HTTP, MOCK, HTTP_PROXY, AWS_PROXY",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.item_integration_type,Yes
apigatewayv2,IpAddressType,string,Yes,"ipv4, dualstack",direct_vars,"equals, not_equals, in, not_in",apigatewayv2.item_ip_address_type,Yes
apigatewayv2,LastDeploymentStatusMessage,string,Yes,"AVAILABLE, DEPLOYED, FAILED, IN_PROGRESS, PENDING",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.item_last_deployment_status_message,Yes
apigatewayv2,Name,string,Yes,"AVAILABLE, PENDING_CERTIFICATE_REIMPORT, PENDING_OWNERSHIP_VERIFICATION, UPDATING",boto3_deps,"equals, not_equals, contains, in, exists",apigatewayv2.item_name,Yes
apigatewayv2,PassthroughBehavior,string,Yes,"WHEN_NO_MATCH, NEVER, WHEN_NO_TEMPLATES",direct_vars,"equals, not_equals, contains, in",apigatewayv2.item_passthrough_behavior,Yes
apigatewayv2,ProtocolType,string,Yes,"WEBSOCKET, HTTP",direct_vars,"equals, not_equals, in, not_in",apigatewayv2.item_protocol_type,Yes
apigatewayv2,PublishStatus,string,Yes,"PUBLISHED, PUBLISH_IN_PROGRESS, PUBLISH_FAILED, DISABLED",direct_vars,"equals, not_equals, in, not_in",apigatewayv2.item_publish_status,Yes
apigatewayv2,RoutingMode,string,Yes,"API_MAPPING_ONLY, ROUTING_RULE_ONLY, ROUTING_RULE_THEN_API_MAPPING",direct_vars,"equals, not_equals, in, not_in",apigatewayv2.item_routing_mode,Yes
apigatewayv2,SecurityPolicy,string,Yes,"TLS_1_0, TLS_1_2",direct_vars,"equals, not_equals, contains, in",apigatewayv2.domain_name_configuration_security_policy,Yes
apigatewayv2,Status,string,Yes,"AVAILABLE, IN_PROGRESS, FAILED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.item_status,Yes
apigatewayv2,StatusException,string,Yes,"AVAILABLE, FAILED, IN_PROGRESS",boto3_deps,"equals, not_equals, in, not_in",apigatewayv2.item_status_exception,Yes
apigatewayv2,TryItState,string,Yes,"ENABLED, DISABLED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",apigatewayv2.item_try_it_state,Yes
apigatewayv2,Version,string,Yes,V2,boto3_deps,"equals, not_equals, contains, in",apigatewayv2.item_version,Yes
apigatewayv2,VpcLinkStatus,string,Yes,"PENDING, AVAILABLE, DELETING, FAILED, INACTIVE",direct_vars,"equals, not_equals, in, not_in",apigatewayv2.item_vpc_link_status,Yes
apigatewayv2,VpcLinkStatusMessage,string,Yes,"AVAILABLE, DELETING, FAILED, INACTIVE, IN_PROGRESS, PENDING",boto3_deps,"equals, not_equals, in, not_in",apigatewayv2.item_vpc_link_status_message,Yes
apigatewayv2,VpcLinkVersion,string,Yes,V2,direct_vars,"equals, not_equals, contains, in",apigatewayv2.item_vpc_link_version,Yes
appconfig,ContentType,string,Yes,"JSON_SCHEMA, LAMBDA",boto3_deps,"equals, not_equals, contains, in",appconfig.item_content_type,Yes
appconfig,EventType,string,Yes,"PERCENTAGE_UPDATED, ROLLBACK_STARTED, ROLLBACK_COMPLETED, BAKE_TIME_STARTED, DEPLOYMENT_STARTED, DEPLOYMENT_COMPLETED, REVERT_COMPLETED",direct_vars,"equals, not_equals, contains, in",appconfig.event_log_event_type,Yes
appconfig,GrowthType,string,Yes,"LINEAR, EXPONENTIAL",direct_vars,"equals, not_equals, in, not_in",appconfig.item_growth_type,Yes
appconfig,ReplicateTo,string,Yes,"NONE, SSM_DOCUMENT",direct_vars,"equals, not_equals, contains, in",appconfig.item_replicate_to,Yes
appconfig,State,string,Yes,"BAKING, VALIDATING, DEPLOYING, COMPLETE, ROLLING_BACK, ROLLED_BACK, REVERTED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",appconfig.item_state,Yes
