unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,automation_type,confidence_score,references,source_file,ibm_checks
canada_pbmm_moderate_multi_cloud_CCCS_CA-2_0035,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-2,CCCS CA-2: Control Assessments,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-7,CCCS CA-7: Continuous Monitoring,,CCCS,Multiple,81,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_cos_read_events_enabled; ibm_activity_tracker_cos_write_events_enabled; ibm_activity_tracker_logging_enabled; ibm_activity_tracker_multi_region_enabled; ibm_api_connect_restapi_logging_enabled; ibm_databases_instance_enhanced_monitoring_enabled; ibm_monitoring_changes_to_network_acls_alarm_configured; ibm_monitoring_changes_to_network_gateways_alarm_configured; ibm_monitoring_changes_to_network_route_tables_alarm_configured; ibm_monitoring_changes_to_vpcs_alarm_configured; ibm_monitoring_log_group_retention_policy_specific_days_enabled; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-9,CCCS CA-9: Internal System Connections,,CCCS,Multiple,28,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_api_connect_restapi_client_certificate_enabled; ibm_cos_bucket_secure_transport_policy; ibm_databases_service_domains_node_to_node_encryption_enabled; ibm_load_balancer_ssl_listeners
canada_pbmm_moderate_multi_cloud_CCCS_CM-2_0042,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-2,CCCS CM-2: Baseline Configuration,,CCCS,Multiple,40,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_db2_warehouse_cluster_automatic_upgrades; ibm_load_balancer_deletion_protection; ibm_schematics_managed_compliant_patching; ibm_vpc_instance_managed_by_ssm; ibm_vpc_instance_older_than_specific_days; ibm_vpc_networkacl_allow_ingress_any_port
canada_pbmm_moderate_multi_cloud_CCCS_CM-3_0043,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-3,CCCS CM-3: Configuration Change Control,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_databases_instance_deletion_protection; ibm_load_balancer_deletion_protection
canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-6,CCCS CM-6: Configuration Settings,,CCCS,Multiple,70,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_cos_read_events_enabled; ibm_activity_tracker_cos_write_events_enabled; ibm_activity_tracker_kms_encryption_enabled; ibm_activity_tracker_log_file_validation_enabled; ibm_activity_tracker_logging_enabled; ibm_activity_tracker_multi_region_enabled; ibm_iam_password_policy_minimum_length_14; ibm_schematics_managed_compliant_patching; ibm_vpc_block_storage_encryption_enabled; ibm_vpc_instance_managed_by_ssm; ibm_vpc_instance_profile_attached
canada_pbmm_moderate_multi_cloud_CCCS_CM-7_0047,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-7,CCCS CM-7: Least Functionality,,CCCS,EC2,10,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_vpc_networkacl_allow_ingress_any_port
canada_pbmm_moderate_multi_cloud_CCCS_CM-8_0048,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-8,CCCS CM-8: System Component Inventory,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_schematics_managed_compliant_patching; ibm_vpc_instance_managed_by_ssm
canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-9,CCCS CM-9: Configuration Management Plan,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_cos_read_events_enabled; ibm_activity_tracker_cos_write_events_enabled; ibm_activity_tracker_kms_encryption_enabled; ibm_activity_tracker_log_file_validation_enabled; ibm_activity_tracker_logging_enabled; ibm_activity_tracker_multi_region_enabled; ibm_iam_password_policy_minimum_length_14; ibm_iam_policy_attached_only_to_group_or_roles; ibm_vpc_block_storage_encryption_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CP-2_0053,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-2,CCCS CP-2: Contingency Plan,,CCCS,Multiple,22,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_databases_instance_deletion_protection; ibm_databases_instance_multi_az; ibm_load_balancer_deletion_protection
canada_pbmm_moderate_multi_cloud_CCCS_CP-6_0056,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-6,CCCS CP-6: Alternate Storage Site,,CCCS,Multiple,28,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_cos_bucket_object_versioning; ibm_databases_instance_backup_enabled; ibm_db2_warehouse_cluster_automated_snapshot; ibm_file_storage_have_backup_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-9,CCCS CP-9: System Backup,,CCCS,Multiple,94,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_kms_encryption_enabled; ibm_cloudant_tables_pitr_enabled; ibm_cos_bucket_default_encryption; ibm_cos_bucket_object_versioning; ibm_databases_instance_backup_enabled; ibm_databases_instance_storage_encrypted; ibm_databases_service_domains_encryption_at_rest_enabled; ibm_db2_warehouse_cluster_audit_logging; ibm_db2_warehouse_cluster_automated_snapshot; ibm_db2_warehouse_cluster_automatic_upgrades; ibm_file_storage_encryption_at_rest_enabled; ibm_file_storage_have_backup_enabled; ibm_monitoring_log_group_kms_encryption_enabled; ibm_vpc_block_storage_encryption_enabled; ibm_watson_studio_notebook_instance_encryption_enabled
canada_pbmm_moderate_multi_cloud_CCCS_IA-2_0062,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-2,CCCS IA-2: Identification and Authentication (organizational Users),,CCCS,IAM,22,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_iam_password_policy_strong; ibm_iam_root_mfa_enabled; ibm_iam_user_mfa_enabled
canada_pbmm_moderate_multi_cloud_CCCS_IA-4_0064,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-4,CCCS IA-4: Identifier Management,,CCCS,IAM,16,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_iam_no_root_access_key; ibm_iam_password_policy_minimum_length_14
canada_pbmm_moderate_multi_cloud_CCCS_IA-5_0065,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-5,CCCS IA-5: Authenticator Management,,CCCS,IAM,6,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_iam_password_policy_minimum_length_14
canada_pbmm_moderate_multi_cloud_CCCS_IR-4_0072,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IR-4,CCCS IR-4: Incident Handling,,CCCS,GUARDDUTY,10,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_security_advisor_no_high_severity_findings
canada_pbmm_moderate_multi_cloud_CCCS_MA-4_0080,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS MA-4,CCCS MA-4: Nonlocal Maintenance,,CCCS,IAM,6,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_iam_password_policy_minimum_length_14
canada_pbmm_moderate_multi_cloud_CCCS_RA-1_0112,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS RA-1,CCCS RA-1: Policy and Procedures,,CCCS,GUARDDUTY,6,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_security_advisor_is_enabled
canada_pbmm_moderate_multi_cloud_CCCS_RA-5_0115,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS RA-5,CCCS RA-5: Vulnerability Monitoring and Scanning,,CCCS,GUARDDUTY,9,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_security_advisor_is_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-5_0131,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-5,CCCS SC-5: Denial-of-service Protection,,CCCS,GUARDDUTY,10,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_security_advisor_is_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-7_0132,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-7,CCCS SC-7: Boundary Protection,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_analytics_engine_cluster_master_nodes_no_public_ip; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_databases_instance_no_public_access; ibm_databases_snapshots_public_access; ibm_db2_warehouse_cluster_public_access; ibm_functions_function_not_publicly_accessible; ibm_functions_function_url_public; ibm_vpc_block_storage_public_snapshot; ibm_vpc_instance_public_ip
canada_pbmm_moderate_multi_cloud_CCCS_SC-8_0133,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-8,CCCS SC-8: Transmission Confidentiality and Integrity,,CCCS,Multiple,27,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_api_gateway_api_gateway_https_required; ibm_cdn_cloudfront_https_required; ibm_cos_website_https_only; ibm_load_balancer_alb_https_redirect
canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-12,CCCS SC-12: Cryptographic Key Establishment and Management,,CCCS,KMS,22,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_key_protect_key_lifecycle_policy; ibm_key_protect_kms_key_expiration_set; ibm_key_protect_kms_key_rotation_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-13,CCCS SC-13: Cryptographic Protection,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_kms_encryption_enabled; ibm_api_connect_restapi_client_certificate_enabled; ibm_cloudant_tables_kms_cmk_encryption_enabled; ibm_databases_service_domains_encryption_at_rest_enabled; ibm_databases_service_domains_node_to_node_encryption_enabled; ibm_file_storage_encryption_at_rest_enabled; ibm_load_balancer_ssl_listeners; ibm_monitoring_log_group_kms_encryption_enabled; ibm_vpc_block_storage_encryption_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-22_0142,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-22,CCCS SC-22: Architecture and Provisioning for Name/address Resolution Service,,CCCS,Multiple,18,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_databases_instance_deletion_protection; ibm_databases_instance_multi_az; ibm_load_balancer_deletion_protection
canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-28,CCCS SC-28: Protection of Information at Rest,,CCCS,Multiple,33,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_backup_backup_encryption_enabled; ibm_compute_ebs_volume_encryption_enabled; ibm_cos_bucket_encryption_enabled; ibm_database_dynamodb_table_encryption_enabled; ibm_database_rds_instance_encryption_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SI-2_0147,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SI-2,CCCS SI-2: Flaw Remediation,,CCCS,Multiple,46,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_databases_instance_enhanced_monitoring_enabled; ibm_db2_warehouse_cluster_automatic_upgrades; ibm_monitoring_changes_to_network_acls_alarm_configured; ibm_monitoring_changes_to_network_gateways_alarm_configured; ibm_monitoring_changes_to_network_route_tables_alarm_configured; ibm_monitoring_changes_to_vpcs_alarm_configured; ibm_schematics_managed_compliant_patching
canada_pbmm_moderate_multi_cloud_CCCS_SI-4_0149,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SI-4,CCCS SI-4: System Monitoring,,CCCS,Multiple,16,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_log_file_validation_enabled; ibm_security_advisor_is_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SI-16_0156,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SI-16,CCCS SI-16: Memory Protection,,CCCS,GUARDDUTY,18,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_security_advisor_guardduty_enabled; ibm_security_advisor_security_center_enabled; ibm_security_advisor_vulnerability_assessment_enabled
cisa_ce_v1_multi_cloud_Your_Systems-1_0006,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Systems-1,Learn what is on your network - Maintain inventories of hardware and software assets,,Learn,Multiple,42,automated,,,CISA_CE_controls_with_checks.csv,ibm_eip_attached; ibm_vpc_network_acl_unused; ibm_vsi_instance_managed; ibm_vsi_management_compliance; ibm_vsi_patch_compliance; ibm_vsi_stopped_instance; ibm_vsi_volume_in_use
cisa_ce_v1_multi_cloud_Your_Systems-2_0007,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Systems-2,Learn who is on your network - Maintain inventories of network connections,,Learn,IAM,18,automated,,,CISA_CE_controls_with_checks.csv,ibm_iam_no_admin_policy; ibm_iam_user_mfa_enabled; ibm_iam_user_unused_credentials
cisa_ce_v1_multi_cloud_Your_Systems-3_0008,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Systems-3,Learn what information resides on your network,,Learn,Multiple,18,automated,,,CISA_CE_controls_with_checks.csv,ibm_cos_bucket_public_read_prohibited; ibm_cos_bucket_public_write_prohibited; ibm_vsi_instance_managed
cisa_ce_v1_multi_cloud_Booting_Up-1_0009,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Booting Up-1,Employ a backup solution that automatically and continuously backs up critical data,,Employ,Multiple,52,automated,,,CISA_CE_controls_with_checks.csv,ibm_backup_plan_min_retention; ibm_backup_recovery_point_retention; ibm_database_aurora_backup_enabled; ibm_database_backup_enabled; ibm_database_instance_backup_enabled; ibm_dynamodb_backup_enabled; ibm_fsx_backup_enabled; ibm_redshift_backup_enabled; ibm_vsi_backup_enabled
cisa_ce_v1_multi_cloud_Booting_Up-2_0010,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Booting Up-2,Require multi-factor authentication (MFA) for all users,,Require,IAM,24,automated,,,CISA_CE_controls_with_checks.csv,ibm_iam_console_mfa_enabled; ibm_iam_root_hardware_mfa_enabled; ibm_iam_root_mfa_enabled; ibm_iam_user_mfa_enabled
cisa_ce_v1_multi_cloud_Booting_Up-3_0011,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Booting Up-3,Enable automatic updates and patch quickly,,Enable,Multiple,24,automated,,,CISA_CE_controls_with_checks.csv,ibm_code_engine_managed_updates_enabled; ibm_database_auto_minor_version_upgrade; ibm_db2_warehouse_cluster_maintenance_settings; ibm_vsi_patch_compliance
cisa_ce_v1_multi_cloud_Booting_Up-4_0012,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Booting Up-4,Implement secure configurations for hardware and software,,Implement,Multiple,30,automated,,,CISA_CE_controls_with_checks.csv,ibm_cos_bucket_public_read_prohibited; ibm_cos_bucket_public_write_prohibited; ibm_vsi_instance_no_public_ip; ibm_vsi_securitygroup_common_ports_restricted; ibm_vsi_securitygroup_ssh_restricted
cisa_ce_v1_multi_cloud_Your_Surroundings-1_0013,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Surroundings-1,Leverage multi-factor authentication for all users,,Leverage,IAM,18,automated,,,CISA_CE_controls_with_checks.csv,ibm_iam_console_mfa_enabled; ibm_iam_root_mfa_enabled; ibm_iam_user_mfa_enabled
cisa_ce_v1_multi_cloud_Your_Surroundings-2_0014,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Surroundings-2,Grant access based on need-to-know and least privilege,,Grant,IAM,24,automated,,,CISA_CE_controls_with_checks.csv,ibm_iam_group_has_users; ibm_iam_no_admin_policy; ibm_iam_user_in_group; ibm_iam_user_no_inline_policies
cisa_ce_v1_multi_cloud_Your_Surroundings-3_0015,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Surroundings-3,Leverage unique passwords for all user accounts,,Leverage,IAM,6,automated,,,CISA_CE_controls_with_checks.csv,ibm_iam_password_policy_compliance
cisa_ce_v1_multi_cloud_Your_Surroundings-4_0016,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Surroundings-4,Develop IT policies addressing changes in user status,,Develop,IAM,6,automated,,,CISA_CE_controls_with_checks.csv,ibm_iam_user_unused_credentials
cisa_ce_v1_multi_cloud_Your_Data-1_0017,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Data-1,Learn what is happening on your network,,Learn,Multiple,29,automated,,,CISA_CE_controls_with_checks.csv,ibm_activity_tracker_enabled; ibm_activity_tracker_logging_enabled; ibm_monitoring_alarm_configured; ibm_security_advisor_enabled; ibm_vpc_flow_logs_enabled
cisa_ce_v1_multi_cloud_Your_Data-2_0018,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Data-2,Learn how your data is protected,,Learn,Multiple,29,automated,,,CISA_CE_controls_with_checks.csv,ibm_cos_bucket_default_kms_encryption; ibm_cos_bucket_encryption_enabled; ibm_database_storage_encrypted; ibm_key_protect_key_not_scheduled_for_deletion; ibm_vsi_block_storage_encrypted
cisa_ce_v1_multi_cloud_Your_Data-3_0019,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Data-3,Leverage malware protection capabilities,,Leverage,GUARDDUTY,12,automated,,,CISA_CE_controls_with_checks.csv,ibm_security_advisor_enabled; ibm_security_advisor_no_high_severity_findings
cisa_ce_v1_multi_cloud_Your_Data-4_0020,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Data-4,Establish regular automated backups,,Establish,Multiple,29,automated,,,CISA_CE_controls_with_checks.csv,ibm_backup_plan_min_retention; ibm_backup_recovery_point_retention; ibm_cloudant_pitr_enabled; ibm_database_backup_enabled; ibm_database_instance_backup_enabled
fedramp_moderate_multi_cloud_AC-2_0002,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2,Account Management,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_1_0003,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (1),Account Management | Automated System Account Management,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_2_0004,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (2),Account Management | Automated Temporary and Emergency Account Management,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_3_0005,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (3),Account Management | Disable Accounts,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_4_0006,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (4),Account Management | Automated Audit Actions,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_5_0007,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (5),Account Management | Inactivity Logout,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_7_0008,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (7),Account Management | Privileged User Accounts,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_9_0009,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (9),Account Management | Restrictions on Use of Shared and Group Accounts,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_11_0010,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (11),Account Management | Usage Conditions,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_12_0011,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (12),Account Management | Account Monitoring for Atypical Usage,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-2_13_0012,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-2 (13),Account Management | Disable Accounts for High-risk Individuals,,Account,IAM,16,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
fedramp_moderate_multi_cloud_AC-5_0017,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-5,Separation of Duties,,Separation,IAM,9,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_policy_no_administrative_privileges
fedramp_moderate_multi_cloud_AC-6_0018,MULTI_CLOUD,FedRAMP,fedramp_moderate,Moderate,AC-6,Least Privilege,,Least,IAM,22,automated,,,FedRAMP_controls_with_checks.csv,ibm_iam_policy_no_administrative_privileges; ibm_iam_policy_overly_permissive; ibm_iam_role_least_privilege
