service,resource,rule_id,severity,domain,description
amplify,branch,aws.amplify.branch.framework_configured,medium,configuration_and_change_management,Checks if AWS Amplify branches have a framework configured. The rule is NON_COMPLIANT if configuration.Framework does not exist.
amplify,branch,aws.amplify.branch.performance_mode_enabled,medium,configuration_and_change_management,Checks if AWS Amplify branches have performance mode enabled. The rule is NON_COMPLIANT if configuration.EnablePerformanceMode is false.
amplify,branch,aws.amplify.branch.pull_request_preview_enabled,medium,configuration_and_change_management,Checks if AWS Amplify branches have pull request preview enabled. The rule is NON_COMPLIANT if configuration.EnablePullRequestPreview is false.
amplify,branch,aws.amplify.branch.tagged,low,compliance_and_governance,"Checks if AWS Amplify branches have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
apigateway,associated,aws.apigateway.associated.with_waf,high,network_security_and_connectivity,Checks if an Amazon API Gateway API stage is using an AWS WAF web access control list (web ACL). The rule is NON_COMPLIANT if an AWS WAF Web ACL is not used or if a used AWS Web ACL does not match what is listed in the rule parameter.
apigateway,cache,aws.apigateway.cache.enabled_and_encrypted,medium,configuration_and_change_management,Checks if all methods in Amazon API Gateway stages have cache enabled and cache encrypted. The rule is NON_COMPLIANT if any method in an Amazon API Gateway stage is not configured to cache or the cache is not encrypted.
apigateway,endpoint,aws.apigateway.endpoint.type_check,medium,configuration_and_change_management,"Checks that Amazon API Gateway APIs are of type as specified in the rule parameter 'endpointConfigurationTypes'. The rule returns COMPLIANT, if any of the RestApi endpoint type matches the endpointConfigurationTypes parameter configured in the rule."
apigateway,execution,aws.apigateway.execution.logging_enabled,high,logging_monitoring_and_alerting,"Checks if all methods in Amazon API Gateway stages have logging enabled. The rule is NON_COMPLIANT if logging is not enabled, or if loggingLevel is neither ERROR nor INFO."
apigateway,rest,aws.apigateway.rest.api_tagged,low,compliance_and_governance,"Checks if AWS ApiGateway REST API resources resources have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
apigateway,ssl,aws.apigateway.ssl.enabled,high,data_protection_and_privacy,Checks if Amazon API Gateway domain names are configured with TLS 1.2 or higher. The rule is NON_COMPLIANT if configuration.SecurityPolicy is 'TLS_1_0'.
apigateway,stage,aws.apigateway.stage.tagged,low,compliance_and_governance,Checks if Amazon API Gateway stages have access logging enabled. The rule is NON_COMPLIANT if 'accessLogSettings' is not present in Stage configuration.
apigateway,xray,aws.apigateway.xray.enabled,medium,logging_monitoring_and_alerting,Checks if Amazon API Gateway domain names are configured with TLS 1.2 or higher. The rule is NON_COMPLIANT if configuration.SecurityPolicy is 'TLS_1_0'.
apigatewayv2,access,aws.apigatewayv2.access.logs_enabled,high,logging_monitoring_and_alerting,Checks if Amazon API Gateway V2 stages have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.
apigatewayv2,authorization,aws.apigatewayv2.authorization.type_configured,high,identity_and_access_management,Checks if Amazon API Gateway V2 stages have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.
apigatewayv2,integration,aws.apigatewayv2.integration.private_https_enabled,high,data_protection_and_privacy,Checks if Amazon API Gateway V2 private integration traffic for HTTP APIs uses the HTTPS protocol. The rule is NON_COMPLIANT if configuration.TlsConfig does not exist.
apigatewayv2,stage,aws.apigatewayv2.stage.default_route_detailed_metrics_enabled,medium,logging_monitoring_and_alerting,Checks if the default route settings for Amazon API Gateway V2 stages have detailed metrics enabled. The rule is NON_COMPLIANT if configuration.defaultRouteSettings.detailedMetricsEnabled is false.
appconfig,application,aws.appconfig.application.description,medium,configuration_and_change_management,Checks if AWS AppConfig applications have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.
appconfig,application,aws.appconfig.application.tagged,low,compliance_and_governance,"Checks if AWS AppConfig applications have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appconfig,configuration_profile,aws.appconfig.configuration_profile.tagged,low,compliance_and_governance,"Checks if AWS AppConfig configuration profiles have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appconfig,configuration_profile,aws.appconfig.configuration_profile.validators_not_empty,medium,configuration_and_change_management,Checks if an AWS AppConfig configuration profile includes at least one validator for syntactic or semantic check to ensure the configuration deploy functions as intended. The rule is NON_COMPLIANT if the Validators property is an empty array.
appconfig,deployment_strategy,aws.appconfig.deployment_strategy.description,medium,configuration_and_change_management,Checks if AWS AppConfig deployment strategies have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.
appconfig,deployment_strategy,aws.appconfig.deployment_strategy.minimum_final_bake_time,medium,configuration_and_change_management,Checks if an AWS AppConfig deployment strategy requires the specified minimum bake time. The rule is NON_COMPLIANT if the deployment strategy has a final bake time less than value specified in the rule parameter. The default value is 30 minutes.
appconfig,deployment_strategy,aws.appconfig.deployment_strategy.replicate_to_ssm,medium,configuration_and_change_management,Checks if AWS AppConfig deployment strategies save the deployment strategy to an AWS Systems Manager (SSM) document. The rule is NON_COMPLIANT if configuration.ReplicateTo is not 'SSM_DOCUMENT'.
appconfig,deployment_strategy,aws.appconfig.deployment_strategy.tagged,low,compliance_and_governance,"Checks if AWS AppConfig deployment strategies have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appconfig,environment,aws.appconfig.environment.description,medium,configuration_and_change_management,Checks if AWS AppConfig environments have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.
appconfig,environment,aws.appconfig.environment.tagged,low,compliance_and_governance,"Checks if AWS AppConfig environments have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appconfig,extension_association,aws.appconfig.extension_association.tagged,low,compliance_and_governance,"Checks if AWS AppConfig extension associations have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appconfig,freeform,aws.appconfig.freeform.profile_config_storage,medium,configuration_and_change_management,Checks if freeform configuration profiles for AWS AppConfig store their configuration data in AWS Secrets Manager or AWS AppConfig hosted configuration store. The rule is NON_COMPLIANT if configuration.LocationUri is not secretsmanager or hosted.
appconfig,hosted_configuration_version,aws.appconfig.hosted_configuration_version.description,medium,configuration_and_change_management,Checks if AWS AppConfig hosted configuration versions have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.
appflow,flow,aws.appflow.flow.tagged,low,compliance_and_governance,"Checks if Amazon AppFlow flows have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appflow,flow,aws.appflow.flow.type_check,medium,configuration_and_change_management,Checks if an Amazon AppFlow flow runs using the specified trigger type. The rule is NON_COMPLAINT if the flow does not run using the flow type specified in the required rule parameter.
appintegrations,application,aws.appintegrations.application.approved_origins_check,medium,configuration_and_change_management,Checks that Amazon AppIntegrations applications do not contain approved origins. The rule is NON_COMPLIANT if configuration.ApplicationSourceConfig.ExternalUrlConfig.ApprovedOrigins is not an empty list.
appintegrations,application,aws.appintegrations.application.tagged,low,compliance_and_governance,"Checks if AWS AppIntegrations application resources have tags. Optionally, required tag keys can be specified. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys aren't present. The rule doesn't check for tags starting with 'aws:'."
appintegrations,event_integration,aws.appintegrations.event_integration.description,medium,configuration_and_change_management,Checks if Amazon AppIntegrations event integrations have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.
appintegrations,event_integration,aws.appintegrations.event_integration.tagged,low,compliance_and_governance,"Checks if Amazon AppIntegrations event integrations have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appmesh,gateway_route,aws.appmesh.gateway_route.tagged,low,compliance_and_governance,"Checks if AWS App Mesh gateway routes have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appmesh,mesh,aws.appmesh.mesh.deny_tcp_forwarding,medium,configuration_and_change_management,Checks if proxies for AWS App Mesh service meshes do not forward TCP traffic directly to services that aren't deployed with a proxy that is defined in the mesh. The rule is NON_COMPLIANT if configuration.Spec.EgressFilter.Type is set to 'ALLOW_ALL'.
appmesh,mesh,aws.appmesh.mesh.ip_pref_check,medium,configuration_and_change_management,Checks if an AWS App Mesh mesh is configured with the specified IP preference for traffic control. The rule is NON_COMPLIANT if the App Mesh mesh is not configured with the IP preference specified in the required rule parameter.
appmesh,mesh,aws.appmesh.mesh.tagged,low,compliance_and_governance,"Checks if AWS App Mesh meshes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appmesh,route,aws.appmesh.route.tagged,low,compliance_and_governance,"Checks if AWS App Mesh routes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appmesh,virtual_gateway,aws.appmesh.virtual_gateway.backend_defaults_tls,high,data_protection_and_privacy,Checks if backend defaults for AWS App Mesh virtual gateways require the virtual gateways to communicate with all ports using TLS. The rule is NON_COMPLIANT if configuration.Spec.BackendDefaults.ClientPolicy.Tls.Enforce is false.
appmesh,virtual_gateway,aws.appmesh.virtual_gateway.listeners_health_check_enabled,medium,logging_monitoring_and_alerting,Checks if listeners for AWS App Mesh virtual gateways have health check enabled. The rule is NON_COMPLIANT if configuration.Spec.Listeners[].HealthCheck does not exist in one or more listeners.
appmesh,virtual_gateway,aws.appmesh.virtual_gateway.logging_file_path_exists,high,logging_monitoring_and_alerting,Checks if AWS App Mesh virtual gateways have a file path to write access logs to. The rule is NON_COMPLIANT if configuration.Spec.Logging.AccessLog.File.Path does not exist.
appmesh,virtual_gateway,aws.appmesh.virtual_gateway.tagged,low,compliance_and_governance,"Checks if AWS App Mesh virtual gateways have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appmesh,virtual_node,aws.appmesh.virtual_node.backend_defaults_tls_on,high,data_protection_and_privacy,Checks if backend defaults for AWS App Mesh virtual nodes require the virtual nodes to communicate with all ports using TLS. The rule is NON_COMPLIANT if configuration.Spec.BackendDefaults.ClientPolicy.Tls.Enforce is false.
appmesh,virtual_node,aws.appmesh.virtual_node.cloud_map_ip_pref_check,medium,configuration_and_change_management,Checks if an AWS App Mesh virtual node is configured with the specified IP preference for AWS Cloud Map service discovery. The rule is NON_COMPLIANT if the virtual node is not configured with the IP preference specified in the required rule parameter.
appmesh,virtual_node,aws.appmesh.virtual_node.dns_ip_pref_check,medium,configuration_and_change_management,Checks if an AWS App Mesh virtual node is configured with the specified IP preference for DNS service discovery. The rule is NON_COMPLIANT if the virtual node is not configured with the IP preference specified in the required rule parameter.
appmesh,virtual_node,aws.appmesh.virtual_node.listeners_health_check_enabled,medium,logging_monitoring_and_alerting,Checks if listeners for AWS App Mesh virtual nodes have health check enabled. The rule is NON_COMPLIANT if configuration.Spec.Listeners[].HealthCheck does not exist in one or more listeners.
appmesh,virtual_node,aws.appmesh.virtual_node.listeners_outlier_detect_enabled,medium,logging_monitoring_and_alerting,Checks if listeners for AWS App Mesh virtual nodes have outlier detection enabled. The rule is NON_COMPLIANT if configuration.Spec.Listeners[].OutlierDetection does not exist in one or more listeners.
appmesh,virtual_node,aws.appmesh.virtual_node.logging_file_path_exists,high,logging_monitoring_and_alerting,Checks if AWS App Mesh virtual nodes have a file path to write access logs to. The rule is NON_COMPLIANT if configuration.Spec.Logging.AccessLog.File.Path does not exist.
appmesh,virtual_node,aws.appmesh.virtual_node.service_backends_tls_enforced,high,data_protection_and_privacy,Checks if service backends for AWS App Mesh virtual nodes require the virtual nodes to communicate with all ports using TLS. The rule is NON_COMPLIANT if any configuration.Spec.Backends[].ClientPolicy.Tls.Enforce is false.
appmesh,virtual_node,aws.appmesh.virtual_node.tagged,low,compliance_and_governance,"Checks if AWS App Mesh virtual nodes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appmesh,virtual_router,aws.appmesh.virtual_router.tagged,low,compliance_and_governance,"Checks if AWS App Mesh virtual routers have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appmesh,virtual_service,aws.appmesh.virtual_service.tagged,low,compliance_and_governance,"Checks if AWS App Mesh virtual services have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
approved,amis,aws.approved.amis.by_id,medium,configuration_and_change_management,Checks if EC2 instances are using specified Amazon Machine Images (AMIs). Specify a list of approved AMI IDs. Running instances with AMIs that are not on this list are NON_COMPLIANT.
approved,amis,aws.approved.amis.by_tag,medium,configuration_and_change_management,Checks if EC2 instances are using specified Amazon Machine Images (AMIs). Specify the tags that identify the AMIs. Running instances with AMIs that don't have at least one of the specified tags are NON_COMPLIANT.
apprunner,service,aws.apprunner.service.in_vpc,high,network_security_and_connectivity,Checks if AWS App Runner services route egress traffic through custom VPC. The rule is NON_COMPLIANT if configuration.NetworkConfiguration.EgressConfiguration.EgressType is equal to DEFAULT.
apprunner,service,aws.apprunner.service.ip_address_type_check,medium,configuration_and_change_management,Checks if an AWS App Runner service is configured with the specified IP address type for incoming public network configuration. The rule is NON_COMPLIANT if the service is not configured with the IP address type specified in the required rule parameter.
apprunner,service,aws.apprunner.service.max_unhealthy_threshold,medium,configuration_and_change_management,Checks if an AWS App Runner service is configured to have an unhealthy threshold less than or equal to the specified value. The rule is NON_COMPLIANT if the unhealthy threshold is greater than the value specified in the required rule parameter.
apprunner,service,aws.apprunner.service.no_public_access,high,network_security_and_connectivity,Checks if AWS AppRunner Services are not publicly accessible. The rule is NON_COMPLIANT if service.configuration.NetworkConfiguration.IngressConfiguration.IsPubliclyAccessible is False.
apprunner,service,aws.apprunner.service.observability_enabled,medium,logging_monitoring_and_alerting,Checks if AWS App Runner services have observability enabled. The rule is NON_COMPLIANT if configuration.ObservabilityConfiguration.ObservabilityEnabled is false'.
apprunner,service,aws.apprunner.service.tagged,low,compliance_and_governance,"Checks if AWS App Runner services have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
apprunner,vpc,aws.apprunner.vpc.connector_tagged,low,compliance_and_governance,"Checks if AWS App Runner VPC connectors have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
appsync,associated,aws.appsync.associated.with_waf,high,network_security_and_connectivity,Checks if AWS AppSync APIs are associated with AWS WAFv2 web access control lists (ACLs). The rule is NON_COMPLIANT for an AWS AppSync API if it is not associated with a web ACL.
appsync,authorization,aws.appsync.authorization.check,high,identity_and_access_management,Checks if an AWS AppSync API is using allowed authorization mechanisms. The rule is NON_COMPLIANT if an unapproved authorization mechanism is being used.
appsync,cache,aws.appsync.cache.ct_encryption_at_rest,high,data_protection_and_privacy,Checks if an AWS AppSync API cache has encryption at rest enabled. This rule is NON_COMPLIANT if 'AtRestEncryptionEnabled' is false.
appsync,cache,aws.appsync.cache.ct_encryption_in_transit,high,data_protection_and_privacy,Checks if an AWS AppSync API cache has encryption in transit enabled. The rule is NON_COMPLIANT if 'TransitEncryptionEnabled' is false.
appsync,cache,aws.appsync.cache.encryption_at_rest,high,data_protection_and_privacy,Checks if an AWS AppSync API cache has encryption at rest enabled. This rule is NON_COMPLIANT if 'AtRestEncryptionEnabled' is false.
appsync,graphql,aws.appsync.graphql.api_xray_enabled,medium,logging_monitoring_and_alerting,Checks if AWS AppSync GraphQL APIs have AWS X-Ray tracing enabled. The rule is NON_COMPLIANT if configuration.XrayEnabled is false.
aps,rule_groups_namespace,aws.aps.rule_groups_namespace.tagged,low,compliance_and_governance,Checks if Amazon Managed Service for Prometheus rule groups namepaces have tags. You can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.
athena,prepared,aws.athena.prepared.statement_description,medium,configuration_and_change_management,Checks if Amazon Athena prepared statements have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.
auditmanager,assessment,aws.auditmanager.assessment.tagged,low,compliance_and_governance,"Checks if AWS Audit Manager assessments have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
autoscaling,launch_config,aws.autoscaling.launch_config.hop_limit,medium,configuration_and_change_management,Checks the number of network hops that the metadata token can travel. This rule is NON_COMPLIANT if the Metadata response hop limit is greater than 1.
autoscaling,launch_config,aws.autoscaling.launch_config.public_ip_disabled,high,network_security_and_connectivity,Checks if Amazon EC2 Auto Scaling groups have public IP addresses enabled through Launch Configurations. The rule is NON_COMPLIANT if the Launch Configuration for an Amazon EC2 Auto Scaling group has AssociatePublicIpAddress set to 'true'.
autoscaling,launch_template,aws.autoscaling.launch_template.configured,medium,configuration_and_change_management,Checks if an Amazon Elastic Compute Cloud (EC2) Auto Scaling group is created from an EC2 launch template. The rule is NON_COMPLIANT if the scaling group is not created from an EC2 launch template.
autoscaling,launchconfig,aws.autoscaling.launchconfig.requires_imdsv2,high,identity_and_access_management,Checks whether only IMDSv2 is enabled. This rule is NON_COMPLIANT if the Metadata version is not included in the launch configuration or if both Metadata V1 and V2 are enabled.
batch,job_queue,aws.batch.job_queue.enabled,medium,configuration_and_change_management,Checks if AWS Batch job queues are enabled. The rule is NON_COMPLIANT if configuration.State is 'DISABLED'.
batch,job_queue,aws.batch.job_queue.tagged,low,compliance_and_governance,Checks if AWS Batch job queues are enabled. The rule is NON_COMPLIANT if configuration.State is 'DISABLED'.
batch,scheduling_policy,aws.batch.scheduling_policy.tagged,low,compliance_and_governance,"Checks if AWS Batch scheduling policies have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
cassandra,keyspace,aws.cassandra.keyspace.tagged,low,compliance_and_governance,"Checks if Amazon Keyspaces (for Apache Cassandra) keyspaces have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
cloudformation,termination,aws.cloudformation.termination.protection_check,medium,resilience_and_disaster_recovery,Checks if an AWS CloudFormation stack has termination protection enabled. This rule is NON_COMPLIANT if termination protection is not enabled on a CloudFormation stack.
cloudfront,accesslogs,aws.cloudfront.accesslogs.enabled,high,data_protection_and_privacy,Checks if Amazon CloudFront distributions are configured to deliver access logs to an Amazon S3 bucket using standard logging (legacy). The rule is NON_COMPLIANT if a CloudFront distribution does not have legacy logging configured.
cloudfront,default,aws.cloudfront.default.root_object_configured,medium,configuration_and_change_management,Checks if an Amazon CloudFront distribution is configured to return a specific object that is the default root object. The rule is NON_COMPLIANT if Amazon CloudFront distribution does not have a default root object configured.
cloudfront,sni,aws.cloudfront.sni.enabled,high,data_protection_and_privacy,Checks if Amazon CloudFront distributions are using a custom SSL certificate and are configured to use SNI to serve HTTPS requests. The rule is NON_COMPLIANT if a custom SSL certificate is associated but the SSL support method is a dedicated IP address.
cloudtrail,cloud,aws.cloudtrail.cloud.watch_logs_enabled,high,logging_monitoring_and_alerting,Checks if AWS CloudTrail trails are configured to send logs to CloudWatch logs. The trail is NON_COMPLIANT if the CloudWatchLogsLogGroupArn property of the trail is empty.
cloudtrail,enabled,aws.cloudtrail.enabled.configured,high,logging_monitoring_and_alerting,"Checks if an AWS CloudTrail trail is enabled in your AWS account. The rule is NON_COMPLIANT if a trail is not enabled. Optionally, the rule checks a specific S3 bucket, Amazon Simple Notification Service (Amazon SNS) topic, and CloudWatch log group."
cloudtrail,encryption,aws.cloudtrail.encryption.enabled,high,data_protection_and_privacy,"Checks if an AWS CloudTrail trail is enabled in your AWS account. The rule is NON_COMPLIANT if a trail is not enabled. Optionally, the rule checks a specific S3 bucket, Amazon Simple Notification Service (Amazon SNS) topic, and CloudWatch log group."
cloudwatch,loggroup,aws.cloudwatch.loggroup.retention_period_check,medium,data_protection_and_privacy,"Checks if an Amazon CloudWatch LogGroup retention period is set to greater than 365 days or else a specified retention period. The rule is NON_COMPLIANT if the retention period is less than MinRetentionTime, if specified, or else 365 days."
codeartifact,repository,aws.codeartifact.repository.tagged,low,compliance_and_governance,"Checks if AWS CodeArtifact repository resources have tags. Optionally, required tag keys can be specified. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
codedeploy,auto,aws.codedeploy.auto.rollback_monitor_enabled,medium,configuration_and_change_management,Checks if the deployment group is configured with automatic deployment rollback and deployment monitoring with alarms attached. The rule is NON_COMPLIANT if AutoRollbackConfiguration or AlarmConfiguration has not been configured or is not enabled.
codedeploy,deployment_group,aws.codedeploy.deployment_group.auto_rollback_enabled,medium,configuration_and_change_management,Checks if AWS CodeDeploy deployment groups have auto rollback configuration enabled. The rule is NON_COMPLIANT if configuration.autoRollbackConfiguration.enabled is false or does not exist.
codedeploy,deployment_group,aws.codedeploy.deployment_group.outdated_instances_update,medium,configuration_and_change_management,Checks if AWS CodeDeploy deployment groups automatically update outdated instances. The rule is NON_COMPLIANT if configuration.outdatedInstancesStrategy is 'IGNORE'.
codedeploy,ec2,aws.codedeploy.ec2.minimum_healthy_hosts_configured,medium,configuration_and_change_management,Checks if the deployment group for EC2/On-Premises Compute Platform is configured with a minimum healthy hosts fleet percentage or host count greater than or equal to the input threshold. The rule is NON_COMPLIANT if either is below the threshold.
codedeploy,lambda,aws.codedeploy.lambda.allatonce_traffic_shift_disabled,medium,configuration_and_change_management,Checks if the deployment group for Lambda Compute Platform is not using the default deployment configuration. The rule is NON_COMPLIANT if the deployment group is using the deployment configuration 'CodeDeployDefault.LambdaAllAtOnce'.
codeguruprofiler,profiling_group,aws.codeguruprofiler.profiling_group.tagged,low,compliance_and_governance,"Checks if Amazon CodeGuru Profiler profiling groups have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
codegurureviewer,repository_association,aws.codegurureviewer.repository_association.tagged,low,compliance_and_governance,"Checks if Amazon CodeGuru Reviewer repository associations have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
codepipeline,deployment,aws.codepipeline.deployment.count_check,medium,configuration_and_change_management,Checks if the first deployment stage of AWS CodePipeline performs more than one deployment. Optionally checks if each of the subsequent remaining stages deploy to more than the specified number of deployments (deploymentLimit).
codepipeline,region,aws.codepipeline.region.fanout_check,medium,configuration_and_change_management,"Checks whether each stage in the AWS CodePipeline deploys to more regions than N times the number of regions the pipeline has deployed to in all previous stages, where N is regionFanoutFactor. The first deployment stage can deploy to only one region."
cognito,identity_pool,aws.cognito.identity_pool.unauthenticated_logins,critical,identity_and_access_management,Checks if Amazon Cognito identity pools disallow unauthenticated logins. The rule is NON_COMPLIANT if configuration.AllowUnauthenticatedIdentities is true.
cognito,user_pool,aws.cognito.user_pool.advanced_security_enabled,critical,identity_and_access_management,"Checks if an Amazon Cognito user pool has advanced security enabled for standard authentication. The rule is NON_COMPLIANT if advanced security is not enabled. Optionally, you can specify an advanced security mode for the rule to check."
cognito,user_pool,aws.cognito.user_pool.deletion_protection_enabled,medium,resilience_and_disaster_recovery,Checks whether Amazon Cognito user pools has deletion protection enabled. This rule is NON_COMPLIANT if a user pool has deletion protection disabled.
cognito,user_pool,aws.cognito.user_pool.tagged,low,compliance_and_governance,"Checks if Amazon Cognito user pools have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
connect,instance,aws.connect.instance.logging_enabled,high,logging_monitoring_and_alerting,Checks if Amazon Connect instances have flow logs enabled in an Amazon CloudWatch log group. The rule is NON_COMPLIANT if an Amazon Connect instance does not have flow logs enabled.
custom,eventbus,aws.custom.eventbus.policy_attached,medium,configuration_and_change_management,Checks if Amazon EventBridge custom event buses have a resource-based policy attached. The rule is NON_COMPLIANT if a custom event bus policy does not have an attached resource-based policy.
custom,schema,aws.custom.schema.registry_policy_attached,medium,configuration_and_change_management,Checks if custom Amazon EventBridge schema registries have a resource policy attached. The rule is NON_COMPLIANT for custom schema registries without a resource policy attached.
customerprofiles,domain,aws.customerprofiles.domain.tagged,low,compliance_and_governance,"Checks if Amazon Connect Customer Profiles domains have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
customerprofiles,object_type,aws.customerprofiles.object_type.allow_profile_creation,medium,configuration_and_change_management,Checks if Amazon Connect Customer Profiles object types allow the creation of a new standard profile if one does not exist. The rule is NON_COMPLIANT if configuration.AllowProfileCreation is false.
